,Ref,Address,Description,DecDate,Link,RefusalReasons,DevType,docfragment,file_ext,filename,Decision,FromSearch,ToSearch,AppTypeFrag,Dev_Type
245,PA18/11256,Buscaverran Farm House Buscaverran Crowan Praze An Beeble TR14 9NQ,Certificate of lawfulness for proposed removal of animal shelter and siting of twin mobile unit on existing concrete base,2018-12-11,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIY271FGJ1V00&activeTab=summary,"1 Based on the documentation provided in support of the application and having regard to other information available the Council does not consider that the applicant has discharged their onus of proof to demonstrate that, on the balance of probability, the twin unit caravan proposed, meets all the necessary criteria for the purposes of the 1968 Caravan Sites Act or as defined under Section 29(1) of the Caravan Sites and Control of Development Act 1960 (as amended). It is therefore considered that the proposal would amount to operational development for the purposes of Section 55 of the Town and Country Planning Act 1990. Furthermore, the proposed twin unit caravan would be sited outside of the curtilage area of the dwellinghouse known as Buscaverran Farm House, Buscaverran, Crowan thereby constituting the construction of a new unit of residential accommodation without the necessary planning permission. Consequently, a Lawful Development Certificate for the proposed development cannot be issued.",,REFUSAL,pdf,PA18_11256-RELDZ_-_LD__PROPOSED__REFUSAL_NOTICE-4298952.pdf,Refused,2019-01-01,2019-06-30,,
246,PA18/11316,Land South East Of Rookery Nook Fraddon Hill Fraddon Cornwall TR9 6NG,Outline planning permission with some matters reserved: Two storey detached dwelling house.,2018-12-19,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIZYKUFG1T200&activeTab=summary," 1 The proposed dwelling would result  in a negative and harmful impact  on the character and appearance  of the area by way of eroding  the open space and wooded area, which is covered by a Tree Preservation Order, and physically  extending the built form of the settlement into the open countryside. The impact on the distinctive character and appearance of the area and loss of woodland and scrub is considered to outweigh any benefits of this proposal  and therefore the proposal does not comply with Policies 1, 2, 3, 7, 12,  21, and 23 of the Cornwall  Local Plan, and paragraph's  8,  170 and 174 of the NPPF 2019  .",,REFUSAL,pdf,PA18_11316-REOUTZ_-_REFUSAL_NOTICE-4500267.pdf,Refused,2019-01-01,2019-06-30,,
247,PA18/11242,Dolphin House 27 St Gluvias Street Penryn Cornwall TR10 8BL,Certificate of Lawfulness for a proposed Conservatory required to enhance building and gain more room.,2019-02-06,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIWQS8FG1V200&activeTab=summary,"The proposed erection of a conservatory to the rear of 'Dolphin House', 27 St Gluvias Street, Penryn would not be considered as permitted development under Class A to Part 1 of Schedule 2 of the Town & Country Planning (General Permitted Development) (England) Order 2015 as amended, by virtue of its size and therefore planning permission would be required.",,REFUSAL,pdf,PA18_11242-RELDLZ_-__PROPOSED_LIST_BLG__REFUSAL-4348698.pdf,Refused,2019-01-01,2019-06-30,,
248,PA18/11210,Copthorne Methodist Church Copthorne Road North Petherwin Launceston PL15 8NB,Listed Building Consent for change of use from former Methodist Church to bungalow. No external changes.,2019-02-13,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIV1YUFGH4100&activeTab=summary," 1 Insufficient information has been provided regarding the proposed window alterations and interior alterations that would have a detrimental impact  on the building resulting in less than substantial harm to the Grade  II listed building. No justification as to the substantial public benefit of the proposal  or that all reasonable efforts have been made  to mitigate  the extent  of the harm to the significance of the asset has been submitted  that would outweigh the less than substantial harm to the listed building. The proposal  is therefore  contrary to policy 24 of the Cornwall Local Plan Strategic Policies 2010-2030  and paragraphs 184, 19, 193, 196 of the National Planning Policy Framework 2019. 2 The application is not accompanied by a phase  1 ecology  survey and therefore the local planning authority cannot be satisfied  that the proposal would not result in harm  to protected species. The proposal is therefore contrary to policy 23 of the Cornwall Local Plan Strategic  Policies 2010-2030 and paragraphs 170 and 175 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA18_11210-RELBCZ_-_REFUSAL_NOTICE-4394655.pdf,Refused,2019-01-01,2019-06-30,,
249,PA18/11209,Copthorne Methodist Church Copthorne Road North Petherwin Launceston PL15 8NB,Change of use from former Methodist Church to bungalow. No external changes.,2019-02-13,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIV1YTFGH4000&activeTab=summary," 1 Insufficient information has been provided regarding the proposed window alterations and interior alterations that would have a detrimental impact  on the building resulting in less than substantial harm to the Grade  II listed building. No justification as to the substantial public benefit of the proposal  or that all reasonable efforts have been made  to mitigate  the extent  of the harm to the significance of the asset has been submitted  that would outweigh the less than substantial harm to the listed building. The proposal  is therefore  contrary to policy 24 of the Cornwall Local Plan Strategic Policies 2010-2030  and paragraphs 184, 19, 193, 196 of the National Planning Policy Framework 2019. 2 The proposal fails to provide sufficient private amenity  space to serve  the functional and recreational  needs of future occupiers, including  for the provision of drainage and parking, and emphasises the cramped nature of the development. This would result in the occupants  having a poor standard  of amenity in accordance with policy 2, 12, and 13 of the Cornwall Local Plan Strategic Policies 2010-2030 and paragraphs  127 and 130 of the National  Planning Policy Framework 2019. 3 The proposal fails to provide an appropriate  level of off-street parking and a safe and suitable access  given that the site is accessed via single track lanes, is not accessible by public  transport and is not in proximity to facilities and services. The proposal is therefore  contrary to policies 13 and 27 of the Cornwall Local Plan Strategic Policies 2010-2030 and paragraph 103 of the National Planning Policy Framework 2019. 4 The application is not accompanied by a phase  1 ecology  survey and therefore the local planning authority cannot be satisfied  that the proposal would not result in harm  to protected species. The proposal is therefore contrary to policy 23 of the Cornwall Local Plan Strategic  Policies 2010-2030 and paragraphs 170 and 175 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA18_11209-REFULZ_-_REFUSAL_NOTICE-4394664.pdf,Refused,2019-01-01,2019-06-30,,Changes of Use
250,PA18/11152,Tregenna Steps Studio Tregenna Terrace St Ives Cornwall TR26 2DL,First floor extension and associated works with Juliet balconies to the east elevation,2018-11-26,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIT0WQFG0H300&activeTab=summary," 1 The proposed development by reason of its scale, massing and design,  in relation to its location, would result in a loss of a protected view of the harbour from the terraces within the town, as such,  the proposal  is contrary to policy OS9 of the St. Ives Neighbourhood Plan.  2 The development  would result in a loss of privacy due to the overlooking opportunities from the proposed  first floor Juliet balconies, which have an unacceptable adverse impact on the residential  amenities of the occupiers of neighbouring properties to the north and east, particularly the neighbours at No. 15, 16, and 17 Tregenna  Terrace.  The development is contrary to policy  GD1 of the St. Ives Neighbourhood Plan, Policy 12 of the Cornwall  Local Plan Strategic Policies 2010 - 2030 and paragraph 127 of the National  Planning Policy Framework 2018.",,REFUSAL,pdf,PA18_11152-REFULZ_-_REFUSAL_NOTICE-4278205.pdf,Refused,2019-01-01,2019-06-30,,Householder
251,PA18/11015,Desiderata Golberdon Road Pensilva Cornwall,Retention of residential caravan,2018-12-05,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIJLMWFGJSZ00&activeTab=summary," 1 The retention of this adapted caravan (which has now evolved  into an unsightlypermanent structure, accompanied by associated domestic paraphernalia)  hasresulted in the creation of a new dwelling in the open countryside withoutspecial justification, in what is an isolated,  car-dependent location. As such theproposal would be harmful to the interests of sustainability, it would  harm thecharacter and appearance of the open countryside of the Lynher Valley  sectionof the Area of Great  Landscape Value, and the location  of the developmentwould  be in conflict with the strategy for the delivery of dwellings as set out inthe development  plan. In consequence the proposal  conflicts with thedevelopment plan when considered as a whole, and, in particular, with CornwallLocal Plan (2016) Policies  1,2,3,5,7,23 and CL9, together  with paragraph 79 ofthe National Planning Policy  Framework 2019.",,REFUSAL,pdf,PA18_11015-REFULZ_-_REFUSAL_NOTICE-4342134.pdf,Refused,2019-01-01,2019-06-30,,Changes of Use
252,PA18/11025,Land Off Pill Creek Pill Lane Feock Cornwall,Detached dwelling,2018-11-21,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIJSD7FGJYE00&activeTab=summary," 1 Contrary to the aims and intensions  of Policies BIO 2, LS2 and D1 of the Feock Neighbourhood Development  Plan 2017-2030,  and Policies 1, 2, 3, 7, 12 and 23 of the Cornwall  Local Plan Strategic Policies  2010-2030,  and paragraph  172 of the National Planning Policy  Framework 2018 the proposed dwelling falls outside  the settlement boundary for Feock in the Neighbourhood Development  Plan, is not infill or rounding off and would harm the natural  qualities of the Area of Outstanding Natural Beauty by reason of the loss of and pressure to fell or prune trees within an area of woodland protected by the Pill Creek Feock No 3 Tree Preservation Order 2018. 2 The proposed development does not accord with policy  12 part 2.a of the Cornwall Local Plan and paragarph  127 (f) of the National  Planning Policy Framework because  of  unacceptable  overlooking into the private  rear garden of the adjacent  property known as Waterside. 3 Contrary to Policy 27 of the Cornwall Local Plan the proposals would result in the unacceptable intensification of a substandard access  detrimental to the safety of all road users owing to the poor emerging visibility  and acute angle of the priority T-junction between  the C101 road and the single vehicle width U6069  road.",,REFUSAL,pdf,PA18_11025-REFULZ_-_REFUSAL_NOTICE-4264696.pdf,Refused,2019-01-01,2019-06-30,,
253,PA18/10936,Rosehill Nurseries Landulph Saltash Cornwall PL12 6NF,"Construction of 40 dwellings (20 Affordable dwellings and 20 Open Market dwellings), Village Shop (A1), formation of new vehicular/pedestrian access and other associated works.",2019-01-04,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIG37OFGHTG00&activeTab=summary," 1 The application site is not located within a main town identified in Policy  3 as a suitable settlement to accommodate  the county's strategic housing  growth.  The site's location and scale of development does not constitute infill development or rounding off nor utilise previously  developed land.  The settlement is considered suitable for housing on a rural exceptions basis where housing development is responsive to local circumstances  in reflecting local housing  needs and be affordable housing led, however  the scheme is not considered to be a suitable Rural Exception Site as the scale of the development in relation to the settlement  and very low housing need is beyond what is considered appropriate.   Although the proposal offers  social and economic benefits through  housing  delivery  including affordable  units in this village location  (which are positive material  considerations supported  within  the NPPF)  these do not outweigh or justify  a departure from the spatial strategy pursued  by the Development Plan. The proposal is therefore not considered to constitute sustainable development  as defined by the Development  Plan as it conflicts specifically  with Policies 1, 2, 3, 7 and 9  of the Cornwall  Local Plan Strategic Policies 2010-2030, adopted November 2016; and guidance within paragraphs  8, 11 and 15 of the National Planning Policy Framework 2019. 2 In the absence of a mechanism  to secure it, the proposal fails to provide; affordable housing; off-site public open space contributions;  managing the increased recreational impacts on the Plymouth  Sound and Estuaries SAC Natura 2000 site; and off-site financial contributions to deliver improvements  to mitigate pressures on education.  The proposal is therefore  considered to be contrary to policies 9, 12, 13, 16 and 28 of the Cornwall Local Plan Strategic  Policies 2010-2030 and guidance  contained  within paragraphs 61, 62, 77, 94 and 96 of the National Planning Policy Framework 2019. 3 The proposal, by reason of its scale,  density, massing  and location,  fails to conserve or enhance the landscape and scenic beauty of an Area of Outstanding Natural Beauty  (AONB).   It is a major development  within an AONB and evidence has not been submitted to demonstrate exceptional circumstances in the public interest in order to justify its adverse visual impact  upon the character  and appearance of this designated landscape.  The proposal is not therefore  sustainable development  and is contrary to paragraph 172 of the National Planning Policy Framework 2019 and Policies 12 and 23 of the Cornwall Local Plan Strategic Policies 2010-2030, adopted  November 2016. 4 A safe and suitable vehicular and pedestrian access has not been demonstrated as the main vehicular  access  does not present appropriate  sight lines for all users  . The scheme is contrary to Policy 27 of the Cornwall  Local Plan Strategic  Policies  2010-2030, adopted  November  2016. 5 The application fails to provide  internal space  to meet nationally described space standards within all of the proposed affordable  homes; fails to demonstrate sufficient accessible homes will be delivered; its market  housing  represents more than 50% of the land take; and the proposal fails to provide sufficient external private amenity space for every dwelling  which creates a cramped  and poor housing layout that does not function  well or add to the overall quality of the area; contrary  to Policies 9, 12 and 13 of the Cornwall Local Plan Strategic  Policies 2010-2030, adopted November 2016 and paragraph 127 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA18_10936-REFULZ_-_REFUSAL_NOTICE-4386309.pdf,Refused,2019-01-01,2019-06-30,,Smallscale Major Dwellings
254,PA18/10933,Land At Carnon Downs Carnon Downs Cornwall,Construction of 14 dwellings (use class C3) with associated infrastructure and landscaping.,2019-01-09,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIG36CFGHTA00&activeTab=summary," 1 The application site is situated outside of the settlement  boundary of Carnon Downs, as defined in Appendix 2 of the Feock Neighbourhood Development Plan 2017 - 2030, and the proposal  could not therefore  be considered to round-off the settlement in accordance with Policy H1 of said Plan. Furthermore, there is neither an overriding need for affordable  housing in the Parish at present, nor any other  material planning considerations which would justify  conflict with the Development Plan. The proposal is therefore considered to conflict  with the aims and intentions of Policy H1 of the Feock  Neighbourhood Development Plan 2017 - 2030, policies 1 and 2 of the Cornwall Local Plan Strategic Policies 2010 - 2030, and paragraphs 2 and 12 of the National Planning Policy Framework 2019. 2 In the absence of a suitable mechanism to secure mitigation for the harmful  effects of the development,  specifically education  contributions for Devoran  and Kea schools  and improvements  to the play area at Parc an Gwarry  in Carnon  Downs, the proposal would  conflict with the aims and intentions of Policy 28 of the Cornwall Local Plan Strategic  Policies 2010 - 2030. 3 In the absence of a suitable mechanism to secure mitigation for the additional recreational pressures  which the development would  inflict upon the Fal and Helford Special Area of Conservation,  the proposal  would  conflict  with the aims and intentions of Policy 22 of the Cornwall Local Plan Strategic  Policies 2010 - 2030.",,REFUSAL,pdf,PA18_10933-REFULZ_-_REFUSAL_NOTICE-4386074.pdf,Refused,2019-01-01,2019-06-30,,Smallscale Major Dwellings
255,PA18/10932,Land At Carnon Downs Carnon Downs Cornwall,Outline planning permission with some matters reserved: Residential development (use class C3) of up to 45 units,2018-12-05,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIG35ZFGHT700&activeTab=summary," 1 The application site is situated outside of the settlement  boundary of Carnon Downs, as defined in Appendix 2 of the Feock Neighbourhood Development Plan 2017 - 2030, and the proposal  could not therefore  be considered to round-off the settlement in accordance with Policy H1 of said Plan. Furthermore, there is neither an overriding need for affordable  housing in the Parish at present, nor any other  material planning considerations which would justify  conflict with the Development Plan. The proposal is therefore considered to conflict  with the aims and intentions of Policy H1 of the Feock  Neighbourhood Development Plan 2017 - 2030; policies  1, 2 and 3 of the Cornwall Local Plan Strategic  Policies 2010 - 2030; and paragraphs 2 and 12 of the National  Planning Policy  Framework  2019. 2 In the absence of a suitable mechanism to secure mitigation for the harmful  effects of the development,  specifically education  contributions for Devoran  and Kea schools  and improvements  to the play area at Parc an Gwarry  in Carnon  Downs, the proposal would  conflict with the aims and intentions of Policy 28 of the Cornwall Local Plan Strategic  Policies 2010 - 2030. 3 In the absence of a suitable mechanism to secure mitigation for the additional recreational pressures  which the development would  inflict upon the Fal and Helford Special Area of Conservation,  the proposal  would  conflict  with the aims and intentions of Policy 22 of the Cornwall Local Plan Strategic  Policies 2010 - 2030.",,REFUSAL,pdf,PA18_10932-REOUTZ_-_REFUSAL_NOTICE-4386022.pdf,Refused,2019-01-01,2019-06-30,,Smallscale Major Dwellings
256,PA18/10941,Crenver Cottage Crenver Grove Praze An Beeble Cornwall TR14 0NS,Conversion of domestic garage to beauty salon,2018-11-30,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PIG4XXFGHV500&activeTab=summary," 1 The proposed development would, due to its location result in patrons  being  dependant upon the private  vehicle  to visit the proposed business and hence fail to accord with the aims of Policy 5 of the Cornwall  Local Plan which requires that new business  and tourism  proposals should  be well integrated with our city, towns and villages and well served by public transport. In the absence of any robust evidence to demonstrate that there is an identified site specific need for the business  proposal in this location the economic benefits of the proposal to the private individual would not outweigh the inherently unsuitable location of the site to local services, facilities  and transport  alternatives  and is therefore considered as unsustainable. As a result, the proposal  would  be contrary  to the aims of Policies  1, 2, 5 and 27 of the Cornwall Local Plan Strategic Policies 2010-2030 and paragraphs 8, 83, 87 and 108 of the National Planning Policy Framework 2018. 2 The proposal, which would require  alterations to the existing domestic  garage in particular to the front elevation which overlooks  the main road, introducing  a change in character to the building through the introduction of patio doors, the associated parking by customers  and pressure  to provide advertisements and signage, which will not protect nor enhance  the character  and appearance  of the area which is viewed as part of the open countryside. The development is contrary to the aims of Policies 1, 2, 12 and 23 of the Cornwall Local Plan Strategic Policies 2010-2030 and paragraphs  8, 127 and 170 of the National  Planning Policy Framework 2018.",,REFUSAL,pdf,PA18_10941-REFULZ_-_REFUSAL_NOTICE-4304551.pdf,Refused,2019-01-01,2019-06-30,,Changes of Use
257,PA18/10808,Land Adjacent To 1 Camel Valley Cottages Dunmere Road Bodmin PL31 2RD,Full planning for a three bedroom dwelling,2018-11-28,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PI84V3FGKET00&activeTab=summary," 1 The site is located outside the main town of Bodmin and is not within  any defined settlement.  The proposal,  if permitted, would  create  an additional  dwelling  which would fail to accord  with the housing growth  strategy identified  in Policy 3 of the Cornwall Local Plan Strategic Policies  2010-2030 and whose occupiers would be heavily reliant on accessing services and facilities by private car particularly having regard to the unsafe  pedestrian route along the A389 where there is no pavement.   This conflicts  with the objectives of enhancing  active  travel patterns, improving access to public transport, and encouraging  a modal shift away from private motor  vehicles, in the interests of reducing resource consumption, air quality improvement and maintaining  highway safety conditions. In the absence of any special circumstances  to justify  residential development  in this countryside  location, the proposal is not sustainable development and is contrary to Policies 1, 2, 3, 7, 12, 16 and 27 of the Cornwall Local Plan Strategic  Policies 2010-2030,  Connecting Cornwall  2030 and the aims and intentions  of paragraphs 8, 91, 102, 103, 108, 110, 127, 148, 150, 181 of the National  Planning Policy  Framework. 2 The proposed access arrangement  fails to demonstrate a safe and suitable access for the proposed  dwelling and, if permitted, would  be detrimental  to highway safety as a result of the introduction of vehicular movements onto the A389, substandard visibility, observed traffic speeds and volume of traffic using  this main road.  It is considered therefore that the development is not sustainable and contrary  to Policies 2, 12 and 27 of the Cornwall  Local Plan Strategic  Policies  2010-2030 and the aims and intentions  of paragraphs 8, 91, 102, 103, 108 and,127 of the National Planning Policy Framework. 3 The design of the dwelling is constrained by the triangular  shape  of the plot which narrows at the front boundary which results  in a contrived design form which would form a prominent addition to the streetscene and fail to respond positively to the local character of development.   The proposal is considered to constitute an unacceptable  form of development  which would fail to take the opportunity for improving the character  and quality  of the surrounding area and is therefore  considered to conflict with the aims and intentions  of policies 1, 2 and 12 of the Cornwall Local Plan Strategic Policies  2010 - 2030;  paragraphs 124, 127 and 130 of the National Planning Policy Framework.",,REFUSAL,pdf,PA18_10808-REFULZ_-_REFUSAL_NOTICE-4402793.pdf,Refused,2019-01-01,2019-06-30,,
258,PA18/10840,The Homestead Crelly Trenear TR13 0EU,Certificate of Lawful use for Existing use of garden in association with ancillary buildings in connection with private dwelling house,2019-03-07,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PI8R67FGKWE00&activeTab=summary,"1 Based on the documentation provided in support of the application and having regard to other information available to the authority, the Council does not consider that the documentation provided in support of the application is sufficiently precise and unambiguous to successfully discharge the onus of proof for the Applicant to demonstrate that, on the balance of probability, the use of garden in association with ancillary buildings in connection with private dwelling house at The Homestead, Crelly, Trenear, TR13 0EU (as shown outlined in red on the Site Location Plan received 17 January 2019) has been continuous for a period in excess of 10 years prior to the date of this application being received. As such the application for a Lawful Development Certificate for an Existing Use is refused.",,REFUSAL,pdf,PA18_10840-RELUZ_-_LU__EXISTING__REFUSAL_NOTICE-4432447.pdf,Refused,2019-01-01,2019-06-30,,
259,PA18/10688,Seaview Holiday Village Polperro Road West Looe PL13 2JE,"Extension and improvements to Seaview Holiday Village caravan park, comprising use of land for the siting of additional lodges/caravans (static caravans) for holiday use; access and parking, landscape planting and associated infrastructure (Revised Application to PA17/09558 dated 09/02/18).",2018-11-12,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PI2NNYFGGQT00&activeTab=summary," 1 The proposal, by reason of its loss to development of approx. 3.25ha of grassed fields and the introduction of a further 47 chalets  and static caravan pitches onto prominent sloping land which is visible from a number  of public viewpoints would fail to conserve and enhance the landscape  character and natural beauty of the South Coast  Eastern section of the Cornwall Area of Outstanding Natural  Beauty.   As such it would conflict with Policies  3(4) and 23 of the Cornwall Local Plan 2016; Policies 1 and 9 of the The Polperro & Lansallos  Neighbourhood Development Plan 2017-2030; and paragraph 172 of the National  Planning Policy Framework 2018.",,REFUSAL,pdf,PA18_10688-REFULZ_-_REFUSAL_NOTICE-4303662.pdf,Refused,2019-01-01,2019-06-30,,All other small scale major developments
260,PA18/10599,Land At Reawla Lane Reawla Lane Reawla Cornwall TR27 5HQ,Demolition of existing barn and construction of new detached dwelling and associated amenity space and parking provision,2018-11-16,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PHVK6LFGK2J00&activeTab=summary," 1 By reason of its two-storey scale and proliferation  of timber  fencing,  coupled with its siting on a narrow parcel of land along an otherwise  undeveloped frontage onto Reawla Lane, the proposed  development is considered to have an unacceptably urbanising effect on the character and setting  of both the settlement of Reawla, as well as the surrounding  countryside to the north-west which the site has a greater visual affinity. The proposal is therefore considered to conflict  with the aims and intentions of GGP Policy 3 of the Gwinear-Gwithian  Neighbourhood Plan 2016-2030; policies 1, 2, 12 and 23 of the Cornwall Local Plan Strategic Policies 2010 - 2030; and paragraphs 8, 11, 127 and 179 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA18_10599-REFULZ_-_REFUSAL_NOTICE-4424932.pdf,Refused,2019-01-01,2019-06-30,,
261,PA18/10540,Sea View West Pentire Crantock Newquay Cornwall TR8 5SE,Outline application for demolition of existing house and garage and erection of two detached houses with integral garages,2018-11-26,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PHTNO0FG1FE00&activeTab=summary," 1 The application site is located within the countryside outside of the settlement of Crantock, as identified  by the Crantock Neighbourhood  Development Plan, and is therefore divorced from any recognised settlement.  The proposed additional built development would result in harm  to the intrinsic  character  of the surrounding rural setting  within the Perranporth  & Holywell  Area of Great  Landscape Value  and with an additional new home with poor accessibility to necessary daily services  and facilities which would perpetuate over reliance on the private vehicle  and unsustainable traffic movements.  Given the lack of any special justification, the application  is not sustainable development and would  be contrary to Policies  1, 2, 7, and 23 of the Cornwall Local Plan Strategic Policies 2010-2030, Policies H1 and PV1  of the Crantock Neighbourhood Development  Plan, and paragraphs  7 - 14, 30, 79, 102 - 103 and 170 of the National  Planning Policy Framework 2018.",,REFUSAL,pdf,PA18_10540-REOUTZ_-_REFUSAL_NOTICE-4277089.pdf,Refused,2019-01-01,2019-06-30,,
262,PA18/10498,Land North Of Wheal Friendly Wheal Friendly Lane St Agnes Cornwall,Application for Listed Building Consent for Re-surfacing twentieth century Cornish tin mine features in need of attention due to weather erosion on mundic - requiring specialised waterproof plaster although the finish shall have the same appearance as the original portland cement plaster used,2019-02-08,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PHRTOQFG1OU00&activeTab=summary," 1 The proposed scheme is considered to promote ongoing deterioration and hide archaeological remains thereby  undermining the integrity, authenticity and setting of the listed building.  The proposals would  therefore  fail to preserve the fabric, character and special interest of the listed building, leading to harm which  would not be outweighed by any public benefit. The proposed would therefore  be contrary to the Council's duty as local planning authority  under section 16 (2) of the Planning (Listed Buildings and Conservation Areas) Act 1990, Policies 12 and 24 of the Cornwall Local Plan Strategic Policies  2010-2030 and Government policy in paragraphs 127, 130, 184, 189, 192, 193, 194 and 196 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA18_10498-RELBCZ_-_REFUSAL_NOTICE-4420988.pdf,Refused,2019-01-01,2019-06-30,,
263,PA18/10519,36 New Road Port Isaac PL29 3SD,Demolition of bungalow and construction of new dwelling,2018-11-14,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PHS8S9FGHUV00&activeTab=summary, 1 Further survey work is required to ascertain if any bats are still using  the building and therefore the impact on this European  protected species  cannot be assessed  or appropriate mitigation secured and the application  is therefore  contrary to policy 23 of the Cornwall Local Plan Strategic Policies 2010-2030  and paragraphs 175 of the National Planning Policy Framework 2019.,,REFUSAL,pdf,PA18_10519-REFULZ_-_REFUSAL_NOTICE-4358736.pdf,Refused,2019-01-01,2019-06-30,,
264,PA18/10497,Land North Of Wheal Friendly Wheal Friendly Lane St Agnes Cornwall,Re-surfacing twentieth century Cornish tin mine features in need of attention due to weather erosion on mundic - requiring specialised waterproof plaster although the finish shall have the same appearance as the original portland cement plaster used,2019-02-08,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PHRTL4FG1OU00&activeTab=summary," 1 The scheme to render the structure would harm the historic  authenticity of the structure thereby  undermining  the integrity,  authenticity and setting of the listed building contrary to S66(1) of the Planning (Listed Buildings and Conservation Areas) Act 1990. It is considered that the public benefits of the scheme does not outweigh the substantial harm caused  which is contrary  to policies 12 and 24 of the Cornwall Local Plan Strategic  Policies 2010 - 2030;  and paragraphs 127, 130, 192, 193, 194 and 196 of the National  Planning Policy Framework  2019. By the same actions  the proposal would harm  the Outstanding Universal  Value of the World Heritage Site contrary  to Policy  24 of the Cornwall Local Plan Strategic  Policies 2010 - 2030.",,REFUSAL,pdf,PA18_10497-REFULZ_-_REFUSAL_NOTICE-4420889.pdf,Refused,2019-01-01,2019-06-30,,
265,PA18/10328,Lower Trewedna Farm Trewedna Lane Perranwell Station Truro Cornwall TR3 7PQ,Demolition of barn and construction of dwelling,2018-11-01,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PHIKI7FGLS900&activeTab=summary," 1 The application site is located within the countryside, clearly divorced from any settlement.  The proposed  new dwelling would, therefore,  result  in harm to the intrinsic character of the surrounding  rural setting  and with a new home with poor accessibility to necessary daily services and facilities which  would perpetuate over reliance  on the private  vehicle and unsustainable traffic  movements.  Given the lack of any special justification, the application is not sustainable development  and is contrary to Policies 1, 2, 7, 21 and 23 of the Cornwall Local Plan Strategic Policies  2010-2030 and paragraphs 8, 9, 78 and 79 of the National Planning Policy  Framework 2018.",,REFUSAL,pdf,PA18_10328-REFULZ_-_REFUSAL_NOTICE-4303053.pdf,Refused,2019-01-01,2019-06-30,,
266,PA18/10332,Mayfield Chymbloth Way Coverack Cornwall TR12 6TB,Demolition of sub-standard dwelling and domestic garage and construction of two dwellings and two domestic garages,2018-11-01,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PHIKIIFGLSM00&activeTab=summary," 1 By reason of its design which  would fail to respond  positively to the local character and distinctiveness in this prominent  location, the proposal is considered to constitute  a poor quality form of development which would fail to take the opportunity for improving the character  and quality  of the surrounding  area and the way it functions which  is designated an Area of Outstanding Natural  Beauty and a Conservation  Area. On balance there is not considered sufficient public benefit to justify  this harm.  The proposal fails to demonstrate  a cultural, physical and aesthetic understanding  of its location; the proposal  would therefore not conserve or enhance the area and it is considered to conflict  with the aims and intentions of policies 1, 2, 12, 23 and 24 of the Cornwall  Local Plan Strategic  Policies 2010 - 2030; paragraphs 124, 127, 130, 170, 172, 192 and 193 of the National Planning Policy Framework 2019; policy  MD9 of the Cornwall  Area of Outstanding Natural Beauty Management Plan 2016-2021 and guidance provided in section 7 of the Cornwall  Design  Guide and Section 72 (1) of the Planning (Listed Buildings and Conservation Area)  Act 1990.",,REFUSAL,pdf,PA18_10332-REFULZ_-_REFUSAL_NOTICE-4371510.pdf,Refused,2019-01-01,2019-06-30,,
